"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"046368","BOLSA DE REGALO HANNAH S DISBREG10054","IASA","005","042","UNI"
"046369","BOLSA DE REGALO TINKERBELL L DISBREG10042","IASA","005","042","UNI"
"046370","BOLSA DE REGALO DISNEY J. DISBREG10001","IASA","005","042","UNI"
"046371","BOLSA DE REGALO WINNIE POO XS DISBREG10016","IASA","005","042","UNI"
"046372","BOLSA DE REGALO NAV. WINNIE J DISBREG10017","IASA","005","042","UNI"
"046373","BOLSA DE REGALO TINKERBELL M DISBREG10043","IASA","005","042","UNI"
"046374","LAPICERO TINKERBELL ROSADO SLLG0003","IASA","001","018","UNI"
"046375","BOLSA DE REGALO NAV. WINNIE L DISBREG10018","IASA","005","042","UNI"
"046376","BOLSA DE REGALO NAV. WINNIE M DISBREG10019","IASA","005","042","UNI"
"046377","BOLSA DE REGALO NAV. WINNIE S DISBREG10020","IASA","005","042","UNI"
"046378","BOLSA DE REGALO TINKERBELL S DISBREG10044","IASA","005","042","UNI"
"046379","BOLSA DE REGALO TINKERBELL XS DISBREG10045","IASA","005","042","UNI"
"046380","LAPICERO PRINCESS BLT ROSADO SLLG0083","IASA","001","018","UNI"
"046381","BOLSA DE REGALO HANNAH XS DISBREG10055","IASA","005","042","UNI"
"046382","LAPICERO TINKERBELL  + ESPEJO SLLG0086","IASA","001","018","UNI"
"046383","BOLSA DE REGALO PRINCESAS J DISBREG10046","IASA","005","042","UNI"
"046384","BOLSA DE REGALO PRINCESAS L DISBREG10047","IASA","005","042","UNI"
"046385","BOLSA DE REGALO PRINCESAS M DISBREG10048","IASA","005","042","UNI"
"046386","BOLSA DE REGALO PRINCESAS S DISBREG10049","IASA","005","042","UNI"
"046387","BOLSA DE REGALO PRINCESAS XS DISBREG10050","IASA","005","042","UNI"
"046388","BOLSA DE REGALO DISNEY L  DISBREG10002","IASA","005","042","UNI"
"046389","BOLSA DE REGALO DISNEY M  DISBREG10003","IASA","005","042","UNI"
